,milage,action,milage_bin,next_milage_bin
0,23,0,1,1
1,31,0,1,1
2,36,0,1,2
3,46,0,2,2
4,56,0,2,2
5,66,0,2,3
6,75,0,3,3
7,85,0,3,3
8,86,0,3,4
9,95,0,4,4
10,106,0,4,5
11,124,0,5,6
12,135,0,6,0
14,9,0,0,0
15,18,0,0,1
16,28,0,1,1
17,44,0,1,2
18,54,0,2,2
19,64,0,2,3
20,71,0,3,3
21,77,0,3,4
22,94,0,4,4
23,96,0,4,4
24,109,0,4,5
25,113,0,5,0
27,8,0,0,0
28,12,0,0,0
29,18,0,0,0
30,21,0,0,1
31,35,0,1,2
32,50,0,2,2
33,56,0,2,2
34,61,0,2,3
35,74,0,3,3
36,88,0,3,4
37,102,0,4,0
39,5,0,0,0
40,20,0,0,1
41,31,0,1,2
42,54,0,2,2
43,60,0,2,3
44,71,0,3,3
45,82,0,3,4
46,89,0,4,4
47,97,0,4,4
48,107,0,4,0
50,6,0,0,0
51,15,0,0,0
52,22,0,0,1
53,31,0,1,2
54,47,0,2,2
55,61,0,2,3
56,69,0,3,3
57,77,0,3,3
58,81,0,3,3
59,88,0,3,4
60,103,0,4,5
61,111,0,5,5
62,114,0,5,0
64,18,0,0,1
65,28,0,1,1
66,38,0,1,2
67,63,0,2,3
68,80,0,3,4
69,105,0,4,5
70,115,0,5,5
71,124,0,5,5
72,132,0,5,6
73,141,0,6,6
74,151,0,6,0
76,10,0,0,0
77,14,0,0,1
78,24,0,1,1
79,43,0,1,2
80,61,0,2,3
81,70,0,3,3
82,77,0,3,4
83,96,0,4,0
85,10,0,0,0
86,14,0,0,0
87,22,0,0,1
88,36,0,1,1
89,44,0,1,2
90,52,0,2,2
91,60,0,2,2
92,66,0,2,3
93,77,0,3,3
94,78,0,3,3
95,88,0,3,5
96,117,0,5,5
97,118,0,5,5
98,125,0,5,6
99,142,0,6,0
101,2,0,0,0
102,6,0,0,0
103,13,0,0,1
104,24,0,1,1
105,35,0,1,2
106,57,0,2,2
107,63,0,2,3
108,76,0,3,0
110,3,0,0,0
111,12,0,0,0
112,16,0,0,1
113,27,0,1,1
114,41,0,1,2
115,50,0,2,2
116,61,0,2,3
117,77,0,3,3
118,81,0,3,3
119,84,0,3,4
120,98,0,4,4
121,108,0,4,5
122,115,0,5,5
123,127,0,5,5
124,128,0,5,0
126,16,0,0,1
127,23,0,1,1
128,32,0,1,1
129,40,0,1,2
130,46,0,2,2
131,53,0,2,2
132,65,0,2,0
134,8,0,0,0
135,18,0,0,1
136,28,0,1,1
137,31,0,1,1
138,37,0,1,2
139,46,0,2,2
140,49,0,2,2
141,66,0,2,3
142,79,0,3,4
143,90,0,4,4
144,101,0,4,5
145,111,0,5,5
146,126,0,5,0
148,15,0,0,1
149,23,0,1,2
150,46,0,2,2
151,49,0,2,2
152,57,0,2,3
153,71,0,3,3
154,78,0,3,0
156,16,0,0,0
157,22,0,0,1
158,33,0,1,1
159,39,0,1,2
160,49,0,2,3
161,67,0,3,3
162,79,0,3,4
163,89,0,4,4
164,94,0,4,4
165,102,0,4,4
166,109,0,4,0
168,4,0,0,0
169,7,0,0,0
170,15,0,0,0
171,18,0,0,1
172,27,0,1,1
173,33,0,1,1
174,43,0,1,2
175,59,0,2,3
176,73,0,3,3
177,83,0,3,4
178,94,0,4,4
179,104,0,4,5
180,115,0,5,5
181,123,0,5,5
182,131,0,5,6
183,146,0,6,0
185,6,0,0,0
186,18,0,0,1
187,25,0,1,1
188,25,0,1,1
189,27,0,1,1
190,40,0,1,2
191,49,0,2,2
192,62,0,2,3
193,77,0,3,3
194,88,0,3,4
195,99,0,4,5
196,116,0,5,5
197,123,0,5,0
199,3,0,0,0
200,13,0,0,1
201,25,0,1,1
202,35,0,1,2
203,46,0,2,2
204,51,0,2,2
205,58,0,2,2
206,61,0,2,3
207,70,0,3,4
208,89,0,4,4
209,93,0,4,4
210,102,0,4,5
211,112,0,5,0
213,9,0,0,1
214,24,0,1,1
215,33,0,1,1
216,44,0,1,2
217,54,0,2,3
218,70,0,3,3
219,83,0,3,4
220,92,0,4,0
222,9,0,0,0
223,17,0,0,1
224,26,0,1,1
225,39,0,1,2
226,53,0,2,2
227,59,0,2,2
228,63,0,2,3
229,78,0,3,4
230,95,0,4,4
231,107,0,4,4
232,110,0,4,5
233,128,0,5,0
235,6,0,0,0
236,13,0,0,1
237,27,0,1,1
238,42,0,1,2
239,48,0,2,2
240,63,0,2,3
241,67,0,3,3
242,82,0,3,4
243,91,0,4,4
244,103,0,4,5
245,118,0,5,5
246,128,0,5,6
247,139,0,6,0
249,4,0,0,0
250,9,0,0,1
251,31,0,1,2
252,45,0,2,2
253,56,0,2,2
254,66,0,2,0
256,15,0,0,0
257,22,0,0,1
258,37,0,1,2
259,45,0,2,2
260,64,0,2,3
261,78,0,3,3
262,87,0,3,4
263,90,0,4,4
264,101,0,4,0
266,3,0,0,0
267,10,0,0,0
268,19,0,0,1
269,37,0,1,2
270,50,0,2,2
271,58,0,2,2
272,62,0,2,3
273,72,0,3,3
274,82,0,3,0
276,10,0,0,0
277,14,0,0,1
278,26,0,1,1
279,30,0,1,1
280,35,0,1,2
281,46,0,2,2
282,54,0,2,2
283,63,0,2,3
284,82,0,3,4
285,95,0,4,4
286,104,0,4,5
287,112,0,5,5
288,118,0,5,5
289,126,0,5,6
290,138,0,6,0
292,11,0,0,0
293,16,0,0,1
294,30,0,1,1
295,37,0,1,1
296,43,0,1,2
297,52,0,2,2
298,54,0,2,2
299,66,0,2,3
300,82,0,3,4
301,97,0,4,4
302,108,0,4,5
303,121,0,5,5
304,126,0,5,5
305,131,0,5,6
306,140,0,6,0
308,11,0,0,1
309,24,0,1,1
310,27,0,1,1
311,33,0,1,1
312,41,0,1,2
313,49,0,2,2
314,57,0,2,3
315,68,0,3,3
316,83,0,3,4
317,90,0,4,0
319,8,0,0,0
320,19,0,0,1
321,24,0,1,1
322,37,0,1,2
323,45,0,2,2
324,51,0,2,2
325,55,0,2,2
326,65,0,2,0
328,12,0,0,1
329,25,0,1,1
330,32,0,1,2
331,45,0,2,2
332,55,0,2,3
333,79,0,3,4
334,92,0,4,4
335,104,0,4,4
336,106,0,4,5
337,117,0,5,6
338,135,0,6,6
339,145,0,6,6
340,152,0,6,7
341,163,0,7,7
342,176,0,7,8
343,189,0,8,0
345,8,0,0,0
346,18,0,0,1
347,30,0,1,1
348,40,0,1,2
349,51,0,2,2
350,60,0,2,3
351,76,0,3,4
352,89,0,4,0
354,8,0,0,1
355,25,0,1,1
356,33,0,1,2
357,45,0,2,2
358,53,0,2,3
359,69,0,3,0
361,8,0,0,0
362,22,0,0,1
363,28,0,1,1
364,32,0,1,1
365,40,0,1,2
366,53,0,2,3
367,67,0,3,3
368,77,0,3,3
369,86,0,3,4
370,94,0,4,4
371,104,0,4,5
372,119,0,5,5
373,131,0,5,6
374,143,0,6,6
375,154,0,6,7
376,164,0,7,7
377,170,0,7,8
378,182,0,8,8
379,191,0,8,9
380,200,0,9,0
382,7,0,0,1
383,24,0,1,1
384,42,0,1,2
385,46,0,2,2
386,50,0,2,2
387,56,0,2,2
388,66,0,2,3
389,74,0,3,3
390,76,0,3,4
391,90,0,4,4
392,99,0,4,5
393,114,0,5,5
394,123,0,5,5
395,130,0,5,6
396,136,0,6,6
397,142,0,6,6
398,151,0,6,7
399,161,0,7,7
400,167,0,7,8
401,181,0,8,0
403,10,0,0,0
404,16,0,0,1
405,26,0,1,1
406,38,0,1,1
407,40,0,1,2
408,47,0,2,2
409,57,0,2,3
410,69,0,3,3
411,82,0,3,4
412,92,0,4,4
413,99,0,4,4
414,107,0,4,0
416,7,0,0,1
417,24,0,1,1
418,32,0,1,1
419,44,0,1,2
420,60,0,2,3
421,69,0,3,3
422,77,0,3,3
423,84,0,3,4
424,95,0,4,4
425,101,0,4,5
426,111,0,5,5
427,120,0,5,5
428,125,0,5,6
429,140,0,6,0
431,12,0,0,1
432,30,0,1,2
433,48,0,2,2
434,60,0,2,3
435,74,0,3,3
436,81,0,3,4
437,91,0,4,0
439,9,0,0,0
440,12,0,0,0
441,17,0,0,1
442,26,0,1,1
443,37,0,1,2
444,50,0,2,2
445,55,0,2,2
446,65,0,2,1
448,24,0,1,1
449,34,0,1,2
450,51,0,2,2
451,66,0,2,3
452,73,0,3,3
453,82,0,3,3
454,86,0,3,4
455,95,0,4,0
457,8,0,0,0
458,14,0,0,0
459,22,0,0,1
460,33,0,1,1
461,37,0,1,2
462,49,0,2,2
463,59,0,2,3
464,73,0,3,3
465,84,0,3,0
467,14,0,0,0
468,19,0,0,1
469,28,0,1,1
470,35,0,1,2
471,47,0,2,2
472,54,0,2,0
474,10,0,0,1
475,24,0,1,1
476,36,0,1,2
477,45,0,2,2
478,60,0,2,3
479,70,0,3,3
480,82,0,3,4
481,97,0,4,4
482,105,0,4,5
483,117,0,5,6
484,133,0,6,6
485,139,0,6,6
486,150,0,6,7
487,161,0,7,7
488,170,0,7,8
489,177,0,8,0
