,milage,diff,action
0,23,8.0,0
1,31,5.0,0
2,36,10.0,0
3,46,10.0,0
4,56,10.0,0
5,66,9.0,0
6,75,10.0,0
7,85,1.0,0
8,86,9.0,0
9,95,11.0,0
10,106,18.0,0
11,124,11.0,0
12,135,7.0,0
13,142,-133.0,1
14,9,9.0,0
15,18,10.0,0
16,28,16.0,0
17,44,10.0,0
18,54,10.0,0
19,64,7.0,0
20,71,6.0,0
21,77,17.0,0
22,94,2.0,0
23,96,13.0,0
24,109,4.0,0
25,113,12.0,0
26,125,-117.0,1
27,8,4.0,0
28,12,6.0,0
29,18,3.0,0
30,21,14.0,0
31,35,15.0,0
32,50,6.0,0
33,56,5.0,0
34,61,13.0,0
35,74,14.0,0
36,88,14.0,0
37,102,5.0,0
38,107,-102.0,1
39,5,15.0,0
40,20,11.0,0
41,31,23.0,0
42,54,6.0,0
43,60,11.0,0
44,71,11.0,0
45,82,7.0,0
46,89,8.0,0
47,97,10.0,0
48,107,12.0,0
49,119,-113.0,1
50,6,9.0,0
51,15,7.0,0
52,22,9.0,0
53,31,16.0,0
54,47,14.0,0
55,61,8.0,0
56,69,8.0,0
57,77,4.0,0
58,81,7.0,0
59,88,15.0,0
60,103,8.0,0
61,111,3.0,0
62,114,11.0,0
63,125,-107.0,1
64,18,10.0,0
65,28,10.0,0
66,38,25.0,0
67,63,17.0,0
68,80,25.0,0
69,105,10.0,0
70,115,9.0,0
71,124,8.0,0
72,132,9.0,0
73,141,10.0,0
74,151,15.0,0
75,166,-156.0,1
76,10,4.0,0
77,14,10.0,0
78,24,19.0,0
79,43,18.0,0
80,61,9.0,0
81,70,7.0,0
82,77,19.0,0
83,96,7.0,0
84,103,-93.0,1
85,10,4.0,0
86,14,8.0,0
87,22,14.0,0
88,36,8.0,0
89,44,8.0,0
90,52,8.0,0
91,60,6.0,0
92,66,11.0,0
93,77,1.0,0
94,78,10.0,0
95,88,29.0,0
96,117,1.0,0
97,118,7.0,0
98,125,17.0,0
99,142,15.0,0
100,157,-155.0,1
101,2,4.0,0
102,6,7.0,0
103,13,11.0,0
104,24,11.0,0
105,35,22.0,0
106,57,6.0,0
107,63,13.0,0
108,76,8.0,0
109,84,-81.0,1
110,3,9.0,0
111,12,4.0,0
112,16,11.0,0
113,27,14.0,0
114,41,9.0,0
115,50,11.0,0
116,61,16.0,0
117,77,4.0,0
118,81,3.0,0
119,84,14.0,0
120,98,10.0,0
121,108,7.0,0
122,115,12.0,0
123,127,1.0,0
124,128,9.0,0
125,137,-121.0,1
126,16,7.0,0
127,23,9.0,0
128,32,8.0,0
129,40,6.0,0
130,46,7.0,0
131,53,12.0,0
132,65,10.0,0
133,75,-67.0,1
134,8,10.0,0
135,18,10.0,0
136,28,3.0,0
137,31,6.0,0
138,37,9.0,0
139,46,3.0,0
140,49,17.0,0
141,66,13.0,0
142,79,11.0,0
143,90,11.0,0
144,101,10.0,0
145,111,15.0,0
146,126,7.0,0
147,133,-118.0,1
148,15,8.0,0
149,23,23.0,0
150,46,3.0,0
151,49,8.0,0
152,57,14.0,0
153,71,7.0,0
154,78,2.0,0
155,80,-64.0,1
156,16,6.0,0
157,22,11.0,0
158,33,6.0,0
159,39,10.0,0
160,49,18.0,0
161,67,12.0,0
162,79,10.0,0
163,89,5.0,0
164,94,8.0,0
165,102,7.0,0
166,109,19.0,0
167,128,-124.0,1
168,4,3.0,0
169,7,8.0,0
170,15,3.0,0
171,18,9.0,0
172,27,6.0,0
173,33,10.0,0
174,43,16.0,0
175,59,14.0,0
176,73,10.0,0
177,83,11.0,0
178,94,10.0,0
179,104,11.0,0
180,115,8.0,0
181,123,8.0,0
182,131,15.0,0
183,146,9.0,0
184,155,-149.0,1
185,6,12.0,0
186,18,7.0,0
187,25,0.0,0
188,25,2.0,0
189,27,13.0,0
190,40,9.0,0
191,49,13.0,0
192,62,15.0,0
193,77,11.0,0
194,88,11.0,0
195,99,17.0,0
196,116,7.0,0
197,123,11.0,0
198,134,-131.0,1
199,3,10.0,0
200,13,12.0,0
201,25,10.0,0
202,35,11.0,0
203,46,5.0,0
204,51,7.0,0
205,58,3.0,0
206,61,9.0,0
207,70,19.0,0
208,89,4.0,0
209,93,9.0,0
210,102,10.0,0
211,112,19.0,0
212,131,-122.0,1
213,9,15.0,0
214,24,9.0,0
215,33,11.0,0
216,44,10.0,0
217,54,16.0,0
218,70,13.0,0
219,83,9.0,0
220,92,10.0,0
221,102,-93.0,1
222,9,8.0,0
223,17,9.0,0
224,26,13.0,0
225,39,14.0,0
226,53,6.0,0
227,59,4.0,0
228,63,15.0,0
229,78,17.0,0
230,95,12.0,0
231,107,3.0,0
232,110,18.0,0
233,128,7.0,0
234,135,-129.0,1
235,6,7.0,0
236,13,14.0,0
237,27,15.0,0
238,42,6.0,0
239,48,15.0,0
240,63,4.0,0
241,67,15.0,0
242,82,9.0,0
243,91,12.0,0
244,103,15.0,0
245,118,10.0,0
246,128,11.0,0
247,139,9.0,0
248,148,-144.0,1
249,4,5.0,0
250,9,22.0,0
251,31,14.0,0
252,45,11.0,0
253,56,10.0,0
254,66,11.0,0
255,77,-62.0,1
256,15,7.0,0
257,22,15.0,0
258,37,8.0,0
259,45,19.0,0
260,64,14.0,0
261,78,9.0,0
262,87,3.0,0
263,90,11.0,0
264,101,7.0,0
265,108,-105.0,1
266,3,7.0,0
267,10,9.0,0
268,19,18.0,0
269,37,13.0,0
270,50,8.0,0
271,58,4.0,0
272,62,10.0,0
273,72,10.0,0
274,82,6.0,0
275,88,-78.0,1
276,10,4.0,0
277,14,12.0,0
278,26,4.0,0
279,30,5.0,0
280,35,11.0,0
281,46,8.0,0
282,54,9.0,0
283,63,19.0,0
284,82,13.0,0
285,95,9.0,0
286,104,8.0,0
287,112,6.0,0
288,118,8.0,0
289,126,12.0,0
290,138,4.0,0
291,142,-131.0,1
292,11,5.0,0
293,16,14.0,0
294,30,7.0,0
295,37,6.0,0
296,43,9.0,0
297,52,2.0,0
298,54,12.0,0
299,66,16.0,0
300,82,15.0,0
301,97,11.0,0
302,108,13.0,0
303,121,5.0,0
304,126,5.0,0
305,131,9.0,0
306,140,7.0,0
307,147,-136.0,1
308,11,13.0,0
309,24,3.0,0
310,27,6.0,0
311,33,8.0,0
312,41,8.0,0
313,49,8.0,0
314,57,11.0,0
315,68,15.0,0
316,83,7.0,0
317,90,11.0,0
318,101,-93.0,1
319,8,11.0,0
320,19,5.0,0
321,24,13.0,0
322,37,8.0,0
323,45,6.0,0
324,51,4.0,0
325,55,10.0,0
326,65,6.0,0
327,71,-59.0,1
328,12,13.0,0
329,25,7.0,0
330,32,13.0,0
331,45,10.0,0
332,55,24.0,0
333,79,13.0,0
334,92,12.0,0
335,104,2.0,0
336,106,11.0,0
337,117,18.0,0
338,135,10.0,0
339,145,7.0,0
340,152,11.0,0
341,163,13.0,0
342,176,13.0,0
343,189,11.0,0
344,200,-192.0,1
345,8,10.0,0
346,18,12.0,0
347,30,10.0,0
348,40,11.0,0
349,51,9.0,0
350,60,16.0,0
351,76,13.0,0
352,89,12.0,0
353,101,-93.0,1
354,8,17.0,0
355,25,8.0,0
356,33,12.0,0
357,45,8.0,0
358,53,16.0,0
359,69,11.0,0
360,80,-72.0,1
361,8,14.0,0
362,22,6.0,0
363,28,4.0,0
364,32,8.0,0
365,40,13.0,0
366,53,14.0,0
367,67,10.0,0
368,77,9.0,0
369,86,8.0,0
370,94,10.0,0
371,104,15.0,0
372,119,12.0,0
373,131,12.0,0
374,143,11.0,0
375,154,10.0,0
376,164,6.0,0
377,170,12.0,0
378,182,9.0,0
379,191,9.0,0
380,200,21.0,0
381,221,-214.0,1
382,7,17.0,0
383,24,18.0,0
384,42,4.0,0
385,46,4.0,0
386,50,6.0,0
387,56,10.0,0
388,66,8.0,0
389,74,2.0,0
390,76,14.0,0
391,90,9.0,0
392,99,15.0,0
393,114,9.0,0
394,123,7.0,0
395,130,6.0,0
396,136,6.0,0
397,142,9.0,0
398,151,10.0,0
399,161,6.0,0
400,167,14.0,0
401,181,11.0,0
402,192,-182.0,1
403,10,6.0,0
404,16,10.0,0
405,26,12.0,0
406,38,2.0,0
407,40,7.0,0
408,47,10.0,0
409,57,12.0,0
410,69,13.0,0
411,82,10.0,0
412,92,7.0,0
413,99,8.0,0
414,107,8.0,0
415,115,-108.0,1
416,7,17.0,0
417,24,8.0,0
418,32,12.0,0
419,44,16.0,0
420,60,9.0,0
421,69,8.0,0
422,77,7.0,0
423,84,11.0,0
424,95,6.0,0
425,101,10.0,0
426,111,9.0,0
427,120,5.0,0
428,125,15.0,0
429,140,7.0,0
430,147,-135.0,1
431,12,18.0,0
432,30,18.0,0
433,48,12.0,0
434,60,14.0,0
435,74,7.0,0
436,81,10.0,0
437,91,11.0,0
438,102,-93.0,1
439,9,3.0,0
440,12,5.0,0
441,17,9.0,0
442,26,11.0,0
443,37,13.0,0
444,50,5.0,0
445,55,10.0,0
446,65,12.0,0
447,77,-53.0,1
448,24,10.0,0
449,34,17.0,0
450,51,15.0,0
451,66,7.0,0
452,73,9.0,0
453,82,4.0,0
454,86,9.0,0
455,95,25.0,0
456,120,-112.0,1
457,8,6.0,0
458,14,8.0,0
459,22,11.0,0
460,33,4.0,0
461,37,12.0,0
462,49,10.0,0
463,59,14.0,0
464,73,11.0,0
465,84,9.0,0
466,93,-79.0,1
467,14,5.0,0
468,19,9.0,0
469,28,7.0,0
470,35,12.0,0
471,47,7.0,0
472,54,17.0,0
473,71,-61.0,1
474,10,14.0,0
475,24,12.0,0
476,36,9.0,0
477,45,15.0,0
478,60,10.0,0
479,70,12.0,0
480,82,15.0,0
481,97,8.0,0
482,105,12.0,0
483,117,16.0,0
484,133,6.0,0
485,139,11.0,0
486,150,11.0,0
487,161,9.0,0
488,170,7.0,0
489,177,6.0,0
490,183,-177.0,1
491,6,8.0,0
492,14,15.0,0
493,29,8.0,0
494,37,12.0,0
495,49,12.0,0
496,61,11.0,0
497,72,11.0,0
498,83,5.0,0
499,88,8.0,0
500,96,7.0,0
501,103,-82.0,1
502,21,10.0,0
503,31,9.0,0
504,40,7.0,0
505,47,8.0,0
506,55,6.0,0
507,61,7.0,0
508,68,8.0,0
509,76,13.0,0
510,89,6.0,0
511,95,11.0,0
512,106,10.0,0
513,116,10.0,0
514,126,4.0,0
515,130,11.0,0
516,141,7.0,0
517,148,-143.0,1
518,5,19.0,0
519,24,1.0,0
520,25,8.0,0
521,33,1.0,0
522,34,5.0,0
523,39,3.0,0
524,42,21.0,0
525,63,4.0,0
526,67,13.0,0
527,80,6.0,0
528,86,7.0,0
529,93,-79.0,1
530,14,10.0,0
531,24,8.0,0
532,32,11.0,0
533,43,15.0,0
534,58,5.0,0
535,63,12.0,0
536,75,19.0,0
537,94,4.0,0
538,98,-91.0,1
539,7,10.0,0
540,17,4.0,0
541,21,10.0,0
542,31,9.0,0
543,40,12.0,0
544,52,12.0,0
545,64,13.0,0
546,77,8.0,0
547,85,14.0,0
548,99,12.0,0
549,111,14.0,0
550,125,-111.0,1
551,14,9.0,0
552,23,6.0,0
553,29,5.0,0
554,34,8.0,0
555,42,17.0,0
556,59,9.0,0
557,68,21.0,0
558,89,10.0,0
559,99,13.0,0
560,112,-101.0,1
561,11,10.0,0
562,21,12.0,0
563,33,14.0,0
564,47,7.0,0
565,54,9.0,0
566,63,10.0,0
567,73,11.0,0
568,84,15.0,0
569,99,3.0,0
570,102,8.0,0
571,110,-100.0,1
572,10,8.0,0
573,18,10.0,0
574,28,6.0,0
575,34,12.0,0
576,46,12.0,0
577,58,8.0,0
578,66,8.0,0
579,74,3.0,0
580,77,9.0,0
581,86,13.0,0
582,99,7.0,0
583,106,8.0,0
584,114,5.0,0
585,119,10.0,0
586,129,5.0,0
587,134,6.0,0
588,140,8.0,0
589,148,8.0,0
590,156,14.0,0
591,170,8.0,0
592,178,11.0,0
593,189,-177.0,1
594,12,13.0,0
595,25,13.0,0
596,38,10.0,0
597,48,13.0,0
598,61,17.0,0
599,78,16.0,0
600,94,-83.0,1
601,11,14.0,0
602,25,14.0,0
603,39,3.0,0
604,42,6.0,0
605,48,11.0,0
606,59,15.0,0
607,74,14.0,0
608,88,11.0,0
609,99,11.0,0
610,110,6.0,0
611,116,-108.0,1
612,8,9.0,0
613,17,9.0,0
614,26,13.0,0
615,39,11.0,0
616,50,5.0,0
617,55,6.0,0
618,61,10.0,0
619,71,7.0,0
620,78,19.0,0
621,97,20.0,0
622,117,14.0,0
623,131,12.0,0
624,143,2.0,0
625,145,16.0,0
626,161,13.0,0
627,174,14.0,0
628,188,12.0,0
629,200,-185.0,1
630,15,13.0,0
631,28,3.0,0
632,31,12.0,0
633,43,15.0,0
634,58,16.0,0
635,74,6.0,0
636,80,6.0,0
637,86,11.0,0
638,97,-85.0,1
639,12,11.0,0
640,23,12.0,0
641,35,5.0,0
642,40,9.0,0
643,49,6.0,0
644,55,6.0,0
645,61,6.0,0
646,67,8.0,0
647,75,10.0,0
648,85,8.0,0
649,93,16.0,0
650,109,10.0,0
651,119,15.0,0
652,134,7.0,0
653,141,12.0,0
654,153,-140.0,1
